001 /^\    enemy-1-top-walking_anim                                                                 
001|^|^|   enemy-1-bottom-walking_anim                                                                      
002 /^\    enemy-1-top-walking_anim-2                                                                  
002 |||    enemy-1-bottom-walking_anim-2                                                                      
003|_☺_    enemy-2-top-walking_anim                                                                      
003 | ||   enemy-2-bottom-walking_anim                                                                      
004 _☺_|   enemy-2-top-walking_anim-2                                                                  
004|| |    enemy-2-bottom-walking_anim-2                                                                   
005~T~T~   enemy-3-top-walking_anim                                                                           
005 /~\    enemy-3-bottom-walking_anim                                                                      
006/P^P\   enemy-3-top-walking_anim-2                                                                   
006 |~|    enemy-3-bottom-walking_anim-2                                                                   
007/~~~\   enemy-4-top-walking_anim                                                                           
007\-V-/   enemy-4-bottom-walking-anim                                                                      
008/~~~\   enemy-4-top-walking_anim-2                                                                           
008 /V\    enemy-4-bottom-walking_anim-2                                                                      
009/___\   enemy-5-top-walking_anim                                                                           
009 / \    enemy-5-bottom-walking_anim                                                                      
010\___/   enemy-5-top-walking_anim-2                                                                           
010 \V/    enemy-5-bottom-walking_anim-2                                                                      
011/O O\   level10-enemy-1-top-walking_anim                                                                         
011\_-_/   level10-enemy-1-bottom-walking_anim                                                                      
012/+ +\   level10-enemy-1-top-walking_anim-2                                                                   
012\ O /   level10-enemy-1-bottom-walking_anim-2                                                                   
013{^^^}   level10-enemy-2-top-walking_anim                                                                           
013 \_/    level10-enemy-2-bottom-walking_anim                                                                      
014}^^^{   level10-enemy-2-top-walking_anim-2                                                                   
014 /_\    level10-enemy-2-bottom-walking_anim-2                                                                   
015^^^^^   level10-enemy-3-top-walking_anim                                                                           
015|^^^|   level10-enemy-3-bottom-walking_anim                                                                      
016vvvvv   level10-enemy-3-top-walking_anim-2                                                                   
016|vvv|   level10-enemy-3-bottom-walking_anim-2                                                                   
017#####   unknown-character-1-(shield-upper?)                                                                 
017#####   unknown-character-2-(shield-lower?)                                                                   
018 _/^\_  player-top                                                                   
018|#####| player-bottom                                                                   
019|       player-enemy-missile                                                                 
020*       explosion                                                                 
021  *     short-explosion-1                                                                   
021        short-explosion-2                                                                   
022 \ /    enemy-explosion-1                                                                  
022 / \    enemy-explosion-2                                                                  
023<##>    saucer-bonus                                                                 
024/~~~~\  unknown-character-3                                                                   
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
                                                                              
